Retailer_code,Product_number,Order_method_code,Date,Quantity,Unit_price,Unit_sale_price
1201,109110,4,12/01/2015,648,76.86,71.48
1201,112110,4,12/01/2015,799,10.64,10.21
1201,115110,4,12/01/2015,755,10.71,10.28
1205,70240,3,12/01/2015,70,122.70,114.11
1205,71110,3,12/01/2015,28,95.62,92.75
1215,73110,2,12/01/2015,3992,12.78,11.89
1215,83110,2,12/01/2015,156,96.44,89.69
1215,86110,2,12/01/2015,2615,6.00,5.58
1215,93110,2,12/01/2015,1913,5.00,4.65
1215,96110,2,12/01/2015,493,23.00,22.08
1209,87110,2,12/01/2015,1762,6.01,5.59
1215,73110,2,12/01/2015,3619,12.78,11.89
1215,83110,2,12/01/2015,137,96.44,89.69
1215,86110,2,12/01/2015,2548,6.00,5.58
1215,93110,2,12/01/2015,1695,5.00,4.65
1215,96110,2,12/01/2015,455,23.00,22.08
1216,3110,2,13/01/2015,698,23.80,21.42
1216,9110,2,13/01/2015,1154,13.22,12.56
1216,15110,2,13/01/2015,28,831.88,773.65
1216,21110,2,13/01/2015,251,40.65,39.02
1216,22110,2,13/01/2015,233,17.65,17.12
1216,25110,2,13/01/2015,170,285.89,265.88
1216,26110,2,13/01/2015,167,370.86,344.90
1216,32110,2,13/01/2015,377,27.37,26.55
1216,35110,2,13/01/2015,179,26.54,25.74
1216,64110,2,13/01/2015,91,41.61,40.36
1216,88110,2,13/01/2015,551,7.00,6.79
1216,89110,2,13/01/2015,1209,7.00,6.72
1216,97110,2,13/01/2015,274,35.00,33.60
1216,99110,2,13/01/2015,246,5.23,5.23
1216,110110,2,13/01/2015,152,98.75,91.84
1216,29110,2,13/01/2015,301,73.50,68.36
1216,31110,2,13/01/2015,486,16.29,15.80
1216,40110,2,13/01/2015,600,27.81,26.70
1210,105110,2,13/01/2015,59,1271.08,1182.10
1210,109110,2,13/01/2015,477,76.86,71.48
1210,111110,2,13/01/2015,174,180.63,167.99
1210,112110,2,13/01/2015,533,10.64,10.21
1210,115110,2,13/01/2015,504,10.71,10.28
1405,70240,6,12/01/2015,103,122.70,114.11
1405,71110,6,12/01/2015,41,95.62,91.80
1218,3110,2,12/01/2015,1171,23.80,21.42
1218,15110,2,12/01/2015,41,831.88,773.65
1218,21110,2,12/01/2015,375,40.65,38.62
1218,22110,2,12/01/2015,347,17.65,16.94
1218,25110,2,12/01/2015,257,285.89,265.88
1218,26110,2,12/01/2015,253,370.86,344.90
1218,32110,2,12/01/2015,566,27.37,26.00
1218,88110,2,12/01/2015,835,7.00,6.65
1218,89110,2,12/01/2015,1831,7.00,6.51
1218,97110,2,12/01/2015,441,35.00,33.25
1218,103110,2,12/01/2015,89,532.75,495.46
1218,110110,2,12/01/2015,244,98.75,91.84
1218,114110,2,12/01/2015,95,219.30,203.95
1204,34110,3,12/01/2015,172,51.24,49.19
1204,67110,3,12/01/2015,36,294.38,273.77
